created_at,favorite_count,full_text,lang,retweet_count,username,sentimen,sentiment_predicted
2024-04-18 13:06:35,100,kpk sorot bansos bulog stiker prabowo gibran kalau bicara kpk ini bilang hoax kah,in,50,FurqanIbr64677,netral,netral
2024-04-22 07:41:05,287,saldi presiden jokowi politisasi bansos mobilisasi selenggara negara,in,90,republikaonline,negatif,negatif
2024-04-15 14:23:18,365,mau jadi les bansos pak,in,151,CutSarina5,positif,positif
2024-04-23 08:28:06,1629,492 triliun bansos 11 triliun blt tuk 18 8 juta orang monyet klo jadi capres bakal menang ttd romi,in,441,BosPurwa,negatif,negatif
2024-04-18 15:17:33,428,utang bapak rakyat bayar bansos 498 t buat sukses prabowo,in,253,H4T14K4LN4L42,negatif,negatif
2024-04-20 03:37:57,167,curang pilpres ltgt bansos,in,92,ZAEffendy,netral,netral
2024-04-22 22:28:14,284,sesat logika mk kepceran kiri mk nyata ada hubung bansos pilih pilih di kepceran kanan mk minta bansos laku jelang milu,in,174,hipohan,positif,negatif
2024-04-22 06:04:06,1160,news update mk minta salur bansos tak laku jelang milu mk temu bukti salur bansos jokowi jumlah menteri tuju untung pasang calon tentu,in,305,tempodotco,negatif,negatif
2024-04-19 06:17:52,365,padahal memang curang bantu guyur bansos firaun,in,55,MlayuTerus,netral,negatif
2024-04-16 10:12:06,1321,main kotor amp terang2 malu2 emang dasar punya malu orang gen z papar aliran2 dana bansos akurat sama hal tampar hidung pinokio,in,680,S4N_W1B1,positif,positif
2024-04-19 12:00:16,51,nyata bansos jkw bikin ahok g suk4,in,16,QalbuBahasa,positif,positif
2024-04-19 13:32:47,337,terima bansos pj gub dki pilih 02 negara kaya raya mineral rakyat tetap miskin harga diri jual harga 1 liter minyak goreng 5 liter beras lama 5 tahun rubah pola pikir depan rubah hati pikir,in,180,H4T14K4LN4L42,negatif,negatif
2024-04-15 16:46:28,423,walkot solo gubernur dki lanjut presiden perahu anak walkot solo mantu walkot medan ipar ketua mk ketua mk pintu masuk anak cawapres lanjut cawe cawe banjir bansos anak tum parpol mantu bacagubsu mantu bacawalkot dinasti tinggal tunggu cucu gede,in,335,ZulkifliLubis69,netral,netral
2024-04-23 08:09:52,1220,lah aku bansos pengaruh donk wakakakaka lawak tolol,in,468,BabehAldoAje135,negatif,negatif
2024-04-16 00:53:10,11,tim amin bakal bantah saksi 4 menteri soal salur bansos,in,1,TirtoID,negatif,netral
2024-04-22 08:37:31,997,news update hakim mk saldi isra anggap politisasi bansos jadi pilpres 2024 sadil yakin dalil mohon kait politisasi bansos alas hukum,in,221,tempodotco,netral,netral
2024-04-22 06:03:15,1366,kata ada relevansi hubung tingkat bansos pilih pilih,in,498,Mdy_Asmara1701,negatif,negatif
2024-04-20 00:10:15,199,negeri kaya raya gin kok rakyat antri bansos,in,98,kang___L,netral,negatif
2024-04-17 22:12:31,43,menteri sri mulyani sembunyi fakta anggar bansos sidang mk,in,16,herculep638,netral,netral
2024-04-18 14:43:48,421,innalillahi wainnailahi rojiun kenapa selalu teriak bansos tepat sasar hal ini jadi,in,152,AirinDatangLagi,negatif,negatif
2024-04-22 04:31:35,7,mk tak temu korelasi bansos elektabilitas prabowo naik,in,2,TirtoID,netral,negatif
2024-04-16 22:19:39,243,terima bansos syarat warga miskin bukan warga dukung 02,in,66,Bambangmulyonoo,negatif,negatif
2024-04-22 16:02:56,2879,senang bisah ada baris ubah sekali terimakasih buat abah amp cak imin yg sdh merwarnai pilpres 2024 kampanye cerdas rakyat desak anies amp slepetimin amp terimakasih banyak buat dukung ubah kalian luar biasa bayar bansos,in,606,nialubis_,netral,negatif
2024-04-24 02:21:11,44,helomet pagi mak lg nenteng bansos loh g da tarik bahas lg,in,1,CebyReborn,negatif,negatif
2024-04-20 04:09:02,903,prabowo tuduh guna caracara curang guna bansos maupun aparat tegak hukum sadar sama itu tuduh tidak dasar oke gaasss oke gaasss,in,574,Boediantar4,positif,positif
2024-04-18 05:37:51,163,bukan bansos tp 200rb,in,27,fhinoalfhian,positif,positif
2024-04-22 10:18:46,102,jadi kamu gak nemuin bukti salur bansos deketdeket milu bentuk curang iya nanti kalo mau nyalurin bansos jangan deketdeket milu loh tadi kata curang iya lain kali jangan jadi curang apa jangan,in,24,jahterra,positif,positif
2024-04-22 13:58:59,145,mata hakim mk tutup ada politisasi bansos,in,97,IwanIwanely72,positif,netral
2024-04-16 10:29:12,286,kubu ganjarmahfud sesal sumber dana bantu sosial bansos bagi presiden jokowi kunjung kerja umum dulu,in,58,kompascom,positif,positif
2024-04-18 08:23:36,512,pilpres 2024 romi bekal bansos 492 t monyet bisa jadi presiden,in,232,Boediantar4,positif,positif
2024-04-17 15:48:27,78,presiden nyata tugas kerja jabat surat ijin usaha tambang sertifikat palsu masuk invest bagi sumber daya alam rakyat asing aseng bagi bansos 497t kerja di terus 1,in,47,H4T14K4LN4L42,positif,positif
2024-04-19 00:40:38,301,ga jadi demo bansos gerak demo dah amsyong,in,50,Tan_Mar3M,netral,netral
2024-04-22 04:30:00,10,mk nilai ada janggal anggar bantu sosial jelang pilpres mk kata anggar bansos rancang matang perintah,in,3,detikcom,netral,netral
2024-04-22 16:49:32,199,awas bansos pilkada sorry yeee muke lu jauuuuhhh,in,53,Candra4smara,netral,netral
2024-04-15 16:18:53,216,iran vs israel serang guna senjata drone jokowi serang pilpres amp pilkada guna senjata bansos,in,42,MARQUEZ__93,positif,positif
2024-04-17 14:42:52,251,congratulations buat og dandanies dapet tiket fancon pantas temu kyungsoo apelagi dapet blue banyak bansos baris solo stan anjay,in,27,octosoo,positif,positif
2024-04-21 06:02:16,30,bonsas bansosbonsas bansosmasih gagal move on tunggu aja besok putus mk menang siapa apa putus mk harga terima legowo emang susah,in,6,Hunt3rW1n02,negatif,negatif
2024-04-23 11:00:14,284,sama woiiiii nambah bansos,in,10,arlepapa,netral,positif
2024-04-17 04:26:22,395,kalau duga sogok rakyat jadi sangka yang sogok pake uang rakyat lewat dana operasional bansos seluruh indonesia kok gak jadi sangka,in,209,msaid_didu,netral,positif
2024-04-21 03:34:59,344,bagi bansos label prabowogibran uang darimana,in,227,Jatayu_45back,positif,positif
2024-04-24 03:25:39,10,cuma saran nih gimana kalo bijak di beban kan pda orang terima bansos pilpres,in,3,Minang_cyber,negatif,negatif
2024-04-21 00:48:24,799,prabowo juga sangkal dia menang bansos ilegal airlangga zulhas teriak2 bansos beri pak jokowi pak jokowi maling apbn 497 triliun menang prabowo gibran,in,444,MichelAdam7__,positif,positif
2024-04-18 00:02:38,107,open donasi gk sih buat dubai landa banjir kali aja butuh bansos,in,24,scrnsyt,netral,netral
2024-04-22 08:48:36,2633,gibran minta diskualifikasi tolak mk calon sah gibran tolak mk president cawe amp nepotisme tolak mk bansos salah tolak mk tuduh presiden naik gaji amp tunjung karna pilpres tolak mk rip mahkamah konstitusi rip demokrasi rip,in,828,Kopipait__78,negatif,negatif
2024-04-21 05:28:00,34,jangan pernah letih mk kuat berani berantas politik bansos,in,13,edi_muchlis,netral,positif
2024-04-21 13:30:30,43,bansos gtgt berani mk diskualifikasi pasang prabowogibran full youtube indonesia lawyers club,in,9,ILCTalkshow,netral,netral
2024-04-18 10:51:13,309,presiden sendiri yang bagi bansosnya sdg melihara bebek bawa makan langsung serbu nang banget ikut apa mau harap besok kasih bansos eh makan maksud kurang hebat gimana coba nkriku cinta mkmk,in,105,Candra4smara,negatif,negatif
2024-04-19 02:09:40,809,cc maaf besok kalau bansos jangan depan istana yg lewat orang naik mobil mewah semua saudara2 di dalam papua lapar,in,309,S4N_W1B1,negatif,negatif
2024-04-18 03:44:35,296,bansos massive public bribery bungkus bijak jokowi presiden rasarasanya sales,in,121,PngAdilnR4kyt,negatif,negatif
2024-04-22 03:34:40,178,cermat uu apbn ta 2024 mahkamah nilai rencana distribusi bansos rupa tindak sah hukum legal,in,49,Mdy_Asmara1701,positif,negatif
2024-04-18 08:37:49,81,efek serang iran israel bukan buat rupiah goyah nyata akibat pada goyah percaya diri paslon bansos oke gasss oke gasss sebar bansos depan gedung mk biar tambah ambyarrr,in,53,NenkMonica,positif,positif
2024-04-16 09:32:54,154,q bansos henti milu p kemaren sblm nyoblos kan udah masa minta lg serakah jd rakyat,in,46,papa_loren,positif,positif
2024-04-24 04:28:45,5,korban bansos aja,in,1,DjumadiPartose1,positif,netral
2024-04-20 18:09:52,462,reza indra giri nanti cahaya terang demokrasi putus hari senin 2242024 kirakira harap kalian apa gess 1 02 didiskulaifikasi lalu milu ulang 2 prabowo ikut milu ulang tanpa ada anak bansos gibran,in,168,Chynthia_K,positif,negatif
2024-04-18 16:01:32,63,sebar bansos 497 t monyet bisa jadi presiden hasan nasbi orang2 sebar perspektif framing tidak benar harus minta maaf sesat publik angka 497 t rupa perlinsos yg bukan acu bansos tapi 277 t utk subsidi,in,40,proclaro_lover,negatif,negatif
2024-04-16 01:05:59,70,kau ingin jadi jilat jd jadi jilat smart bukan hny jilatin iler loe sendirikadang gw eneg lihat met aktifitas semangat hadap hidup keras bukan bansos,in,4,bungalotus25,negatif,positif
2024-04-20 03:50:48,21,dukung 02 banyak suhu punya usaha bisnis punya karyawan banyak dukung 02 terima bansos hak bagai warga negara indonesia yang kurang mampu nama rezeki perlu tolak terima tidak 01 tadah uang donasi,in,5,gustavssondhela,positif,positif
2024-04-20 13:53:58,1338,salah satu bukti kampanye papua tengah rakyat tak satu mau hadir habis dana kuncuran bansos tak gubris joget misi ijug prabowo menang fakta curang komisioner 2019,in,669,H4T14K4LN4L42,netral,netral
2024-04-21 21:58:37,3019,rakyat lihat saksi negara korupsi ratus triliun jadi chaos cuman milu ulang ndak bakal itu nama chaos biaya milu tidak ada setaik kuku banding kasus korupsi pt timah bagi dana bansos,in,1181,abu_waras,netral,netral
2024-04-17 08:49:44,8,oo asuk otak pantat iq78 nikmat bansos,in,4,e_soebroto,negatif,negatif
2024-04-18 00:55:43,118,miskin kata kurang kenapa bansos tingkat mungkin terima bansos anggap faktor kurang angka miskin gitu kali,in,30,T0M5helby,netral,netral
2024-04-22 07:26:10,6,bansos ganjar,in,1,KDroneHunter,positif,negatif
2024-04-19 15:08:26,2513,up ah suka amnesia dukung ini biang gaduh bansos menteri 1 tapi males mau nge up bukti bukan asumsi bansos untuk rakyat kurang mampu kalian pilih 00 bansos alhamdulillah arti golong orang,in,1455,AbdulRachimmks,positif,positif
2024-04-22 18:29:17,38,hakim mk perintah langgar milu tsm politisasi bansos jokowi bukti,in,13,herculep638,netral,netral
2024-04-20 23:40:55,632,indonesia milik kaya alam tambang emas besar duniatapi rakyat antri bansos nomor 1 dunia,in,413,IrmansyahAdhy,positif,positif
2024-04-16 15:18:45,99,rakyat ajar mangap aja terima bansos tidak pernah ajar spy pintar cari makan sendiri,in,18,agisubagio,netral,netral
2024-04-18 10:58:14,10735,negara main dana bansos rp 471 triliun kuasa biar warga tinggal lapar tulang balut kulit begini presiden layak masuk neraka paling jahanam,in,2785,DokterTifa,negatif,negatif
2024-04-22 02:03:06,56,buzzer receh buzzer bansos mulai sera bela 58 nomor buntut,in,8,HabiebBass,netral,netral
2024-04-23 01:21:55,968,bangga anies kalah mk refly harun dalil gun bansos menang 02 bukti,in,319,OposisiCerdas,positif,positif
2024-04-18 09:28:46,101,arti boikot produk israhell sekutu lama 62 thn mrk juga rasa dampak perang cipta jangan mental bansos republik apalagi dgn iming2 diskon harga murah dr produk laknat mereka,in,64,akuntwiter968,negatif,positif
2024-04-23 22:10:01,296,akibat bansos atas nama presiden hutang negara atas nama rakyat segala beban negara tanggung rakyat terima kasih pks peduli rakyat,in,128,UusRsd,netral,netral
2024-04-22 06:08:05,45,tuju mulia logika daraimana bansos pengaruh oleh suara emang kubu ono bisa ngada ngada,in,14,EL_Mascotte,positif,positif
2024-04-22 04:41:05,5,mk khawatir bagi bansos jelang milu jadi preseden buruk,in,0,TirtoID,positif,positif
2024-04-19 00:44:57,323,bentuk mk jaman ibu megawati terima bansos syarat miskin harus dukung capres klu bansos bagi elektoral curang,in,98,Bambangmulyonoo,positif,positif
2024-04-21 00:55:07,2101,bansos milu masalah 1 gambar prabowo gibran 2 warna tkn 02 tas bansos biru muda 3 ria menteri dari pak jokowi anak jokowi nyapres hamdan zoelva,in,1180,MichelAdam7__,netral,netral
2024-04-18 05:31:59,256,iyaa wowo banyak duit makanya menang lewat curang bantu guyur bansos wiwi betul apa betul,in,22,MlayuTerus,negatif,negatif
2024-04-20 07:27:33,37,sepakat bansos pakai uang rakyat bukan uang jokowi,in,28,PngAdilnR4kyt,netral,netral
2024-04-23 05:30:24,85,tetap semangat tolak banyak tempat abdi kita bukan kaum bansos,in,12,QianzyZ,positif,positif
2024-04-17 01:01:29,120,monggo 96 juta rakyat pilih prabowogibran turun jalan perlu 51 juta bansos kerah tanpa bansos sorry ye sorry ye,in,24,CeciliaSuwanda1,netral,netral
2024-04-22 11:13:47,258,mk tak yakin jokowi intervensi pilpres tekan parpol pakai data bin amp bais mk tak yakin kait bansos oleh suara 02 mk tak yakin semua bukti hadir tim hukum 01 amp 03 mk haqqul yakin pria foto,in,127,DaddyMinusSugar,negatif,negatif
2024-04-17 11:00:00,220,qatar laku curang mereka yakin akan mampu kalah indonesia main jujur indonesia fenomena badai el bansos jadi alas sama,in,55,YRadianto,netral,positif
2024-04-22 14:10:27,11,tuh hakim sakaw apa otak ngebleng emang bansos gak dekat sma milu,in,1,Karinbahary2,negatif,negatif
2024-04-20 22:38:57,9,tutup firend bansos bulan,in,0,nestarich07,negatif,negatif
2024-04-22 00:39:41,580,pilih baik hari bagi mk diskualifikasi gibran wakil presiden pilih ada gibran akar segala soal hancur demokrasi 2024 hadir yang buat hukum diutak atik etika tak jadi timbang bansos asal tabur,in,91,Miduk17,positif,netral
2024-04-19 06:03:23,568,rampok kian rajalela bansos 497 t timah 271 t ekspor ilegal bijih nikel 1500 t harus dorong terus ungkap sangka korupsi uang rakyat bila perlu gantung mati,in,401,secr3thm4nz56,negatif,positif
2024-04-19 02:04:37,1,projo dukung tak terima tuduh pilih prabowo bansos,in,0,TirtoID,negatif,negatif
2024-04-22 07:47:32,205,mk ada bukti bagi bansos jokowi untung prabowogibran also mk,in,45,FulanMcBastard,netral,netral
2024-04-21 00:49:03,271,wuih bansos digital perintah singapura mayan s 300 dana climate change bisa pakai buat beli produkproduk ramah lingkung,in,25,ainunnajib,positif,positif
2024-04-17 01:48:28,117,klo milu ulang baru rudal bansos497t luncur doa ajamkmkmk,in,22,Candra4smara,netral,netral
2024-04-22 06:36:14,11920,bismillah gibran minta diskualifikasi tolak mk calon sah gibran tolak mk president cawe amp nepotisme tolak mk bansos salah tolak mk tuduh presiden naik gaji amp tunjung karna pilpres tolak mk rip mahkamah konstitusi rip demokrasi,in,4367,NinzExe07,positif,negatif
2024-04-18 06:08:00,135,ooo jelas klw dukung 02 org kaya semua gak mau bansos gak mau suap 20ribu perak harga diri beda dgn 01 kwakwak,in,27,APSitompul01,netral,negatif
2024-04-18 14:07:13,129,aja kalian puluh ribu korupsi kalian bisu periksa dana bansos 497 triliun kereta cepat biaya mahal dunia hampir 4 kali lipat kalian sentuh aja kalian,in,85,TSolihien,netral,netral
2024-04-20 06:24:06,20,prabowo jawab tuding pakai bansos aparat pilpres 2024 sangat kejam,in,5,liputan6dotcom,negatif,positif
2024-04-22 05:53:49,143,kok impor apa kabar food estate kata hasil apa impor tutup stok di pakai bansos rasa pilpres bps impor beras lonjak 29 per maret 2024 gandum capai 24 badan pusat statistik bps lapor jadi lonjak impor komoditas,in,44,Aryprasetyo85,negatif,negatif
2024-04-22 22:53:10,418,mahkamah konstitusi mk minta salur bansos masa datang lagi laku jelang laksana pemiu arti benar bukti bhw bansos jelang milu 2024 ini bukti pengaruh elektabilitas paslon tentu,in,191,UbedilahB,positif,positif
2024-04-18 00:18:01,373,kpk sorot bansos bulog stiker prabowogibran sumber uang negara stiker tiga paslon cc,in,173,gilang_ahm31272,netral,netral
2024-04-19 23:31:48,1673,gawat curang pilpres kini jadi ghibahan internasional demokrasi indonesia jadi cibir telah rusak rezime demokrotos bansos bansos beri bansos,in,957,abu_waras,positif,negatif
2024-04-21 06:13:40,52,bts pajak bansos pelni timah emas suara semua di korupsi trs ya begini cerita tikus lbh sangar kucing,in,18,Djeng_Hiz,negatif,negatif
2024-04-16 18:01:33,39,duka limut desa sungai jernih camat rupit kabupaten muratara sumatera selatan orang warga tempat suryati 35 temu tinggal dunia akibat lapar,in,23,Bams_4GP,negatif,negatif
2024-04-22 08:30:37,753,pertama pernah tarik sidang mk karan udh tau kuat istana tan mega tidak imbang nikamtin hidup kalian wahai mental budak jongos cukup lempar bansos asal jangan kau obok sda aceh ingat,in,170,CutSarina5,positif,positif
2024-04-21 05:23:56,82,benar masalah ls udah clear dksina udah nengahin ngasih statement si zura malah up x buat apa bansos iya aja loh sila mo bawa ls malah diplintir anj kira ga bawa bangsat emang lagi kena cok emang,in,16,Fi_aulisoo,netral,netral
2024-04-23 12:06:32,229,sedih ga sih bangsa sendiri bejubel kayak cendol gin cari kerja smntra tka cina tiap hari ratus dtg gelombang fasilitas jabat bejat bin laknat ketawa ketiwi rakyat cukup sihir bansos blt kapan sadar yak,in,162,CAMERALIVE6849,netral,netral
2024-04-23 09:17:56,1184,monyet bisa menang pilpres modal bansos 492 trilliun,in,304,gilang_ahm31272,positif,positif
2024-04-18 07:32:34,101,kalau urus populis dah senang rakyat turun tangan sendiri meski menteri bahkan rt tugas bagi bansos kalau urus tidak populis bisa timbul gejolak rakyat naik harga bbm wakil bawah,in,54,Boediantar4,negatif,netral
2024-04-22 04:51:20,26,a1 informasi sangat jelas sangat sedih kaum teriak bansos terima kasih,in,7,Hunt3rW1n02,netral,netral
2024-04-16 14:08:12,36,gw fair orgnya gw sbg umat katolik orang aku sbg romo magnis nuduh presiden ri nyuri bansos bukti seperti gilbert beliau pendeta offside bahas yakin gw roasting,in,9,iam_zelt,negatif,negatif
2024-04-21 21:51:37,42,gedibal gedibal tugiman terus nyalahin bansos gak sadar diri memang jangan kalian mau menang sama 02 sama kadrun aja kalian kalah kok gak nyalahin bansos man tugiman,in,11,BBerizik,netral,netral
2024-04-21 00:44:53,27,9 makanya jangan nyolong duit rakyat bansos milu khusus 02,in,20,Callystasweet11,positif,positif
2024-04-19 09:34:57,265,jumat siang kasus asusila ketua kpu dgn ppln amicus curiae mk amp kerja pinjol ln rame potensi perang dunia iii u cegat drone amp rudal iran israel habis 22 triliun smtr pilpres 2024 jokowi habis 497 triliun uang rakyat rupa bansos blt u hadang anies baswedan,in,97,_melody_mellow,positif,positif
2024-04-18 09:57:03,91,pala lo bau tai tajir melintir masa org tajir ngarepin bansos sama duit 200 rb,in,12,JokoLipService,positif,positif
2024-04-18 16:12:05,11,kirim nikel harga 1500 triliun lebih besar bansos lantas jadi gejolak opm papua aneh kan 2,in,4,H4T14K4LN4L42,negatif,negatif
2024-04-20 13:03:39,353,prabowo subianto bantah menang milu 2024 pakai bansos aparat,in,78,KompasTV,negatif,negatif
2024-04-24 01:30:06,14,putus mk sebut bansos tak untung prabowogibran gelontor dana bansos iring milu 2024,in,5,tempodotco,negatif,negatif
2024-04-20 10:28:30,278,patut syukur pilpes 2024 tak lg isu pki tak isu komunis tak isu antek2 china tak kunyah politik identitas lebih isu bansos,in,52,Adiprayitno_20,positif,positif
2024-04-16 14:37:11,10,lanjut ntar aku tambahin bansos,in,1,obali9945,positif,positif
2024-04-22 05:13:01,14,mahkamah tak yakin hubung bansos peningkagan suara pasang calon kata arsul sani,in,9,republikaonline,negatif,negatif
2024-04-22 11:13:41,295,tak relevansi minta tak laku bansos jelang milu belengbeleng,in,114,Anak__Ogi,negatif,negatif
2024-04-22 08:35:05,80,beda dapat antara hakim dlm putus mk kait bansos tg nilai masalah saldi isra dapat layak pilpres ulang daerah2 indikasi jadi langgar tp ga nyebutin diskualifikasi ato milu ulang seluruh,in,11,jalanparis,positif,negatif
2024-04-19 14:43:59,191,jual beli harga diri suara beli bungkus bansos diri beli lembar amplop mungkin cukup ongkos dar ganjal perut kalian layak sebut sbg warga negara suara harga kalian habis jual,in,125,NenkMonica,netral,netral
2024-04-18 11:45:20,11,bang baca bang biar ngga bonsas bansos,in,2,jilansukses,positif,positif
2024-04-16 23:34:08,77,tenang aja ada mk kpu bawaslu bansos blt aparat vietnam india siap ekspor beras indonesia guyur beras daerah keluarga mau maju pilkada,in,15,quintta1217,negatif,negatif
2024-04-19 03:28:48,39,serta milu 2014 2019 nyata milu curang tolak hasil milu jadi beda nyata milu 2024 bantu gak netral aparatur negara guna bansos,in,16,Jumianto_RK,negatif,negatif
2024-04-23 00:04:36,2123,mk rekomendasi bansos tak bagi jelang milu ganjar hakim konsisten,in,592,tempodotco,positif,negatif
2024-04-23 09:51:43,10,bansos milu masalah 1 gambar prabowo gibran 2 warna tkn 02 tas bansos biru muda 3 ria menteri dari pak jokowi anak jokowi nyapres hamdan zoelva,in,8,dancersejati07,netral,netral
2024-04-18 08:29:06,853,semua cara licik curang 02 laku bantu salah satu lewat kalo menteri lain politisasi bansos kalo et lewat obral jabat bumn yg paling licik adlh jabat komisaris unk beri pd 1 febuari pdhl,in,397,Anak__Ogi,netral,positif
2024-04-21 03:12:30,5,nuntut ngewe udh kayak nuntut bansos aja,in,3,andhikatsu,positif,positif
2024-04-17 02:16:39,9,arti kamu bagi 96 jt 51 juta 45 juta tidak butuh bansos ingat saudara2 mu tanah air banyak miskin jokowi perlu 497 trilliun kalah paslon 01 03,in,1,CeciliaSuwanda1,negatif,negatif
2024-04-22 10:59:32,4647,indonesia bubar 2030 spt prediksi prabowo bubar scr de jure hancur scr de facto krn rrc ogah punya provinsi duduk iq58 amp tukang ngemis bansos yg harga dr negara hanya tanah amp alam duduk biar mati lapar amp saling bunuh,in,1096,DokterTifa,netral,netral
2024-04-20 04:20:39,574,jahat rampok negeri buat rakyat makin miskin tetap fokus korupsi timah 271 t korupsi bansos 497 t korupsi bijih nikel 1500 t jangan daya tipu muslihat alih isu,in,344,PngAdilnR4kyt,positif,positif
2024-04-24 02:21:33,11,nungguin bansos perintah udah kaga kaya pilpres dah garap ajah siapa tau jadi beras 1ton,in,10,indraam16,netral,netral
2024-04-18 02:13:20,946,maaf pidio putar ulang semenjak bansos kampanye presiden kata amat 90 jt rakyat indonesia idap sakit gagal otak konslet amp sakit goblok ayooo waras,in,460,S4N_W1B1,negatif,negatif
2024-04-16 11:15:01,182,gmana pak yg sayang sekali rakyat us lg naek ekonomi rakyat kecil susah gk mau ksh bansos lg kader2 buat makan siang gratis,in,64,LexWu_13,positif,positif
2024-04-22 05:51:40,171,lah arti benar bansos punya efek elektoral tp putus malah balik,in,19,Ithochan,positif,positif
2024-04-23 03:06:28,1070,selamat pak sukses membangung dinasti keluarga ciamik bapak kenang bapak usak demokrasi bangsa,in,322,triwul82,negatif,negatif
2024-04-22 06:31:49,28,1 gibran minta diskualifikasi tolak mk 2 calon sah gibran tolak mk 3 president cawe cawe nepotisme tolak mk 4 bansos salah tolak mk 5 tuduh presiden kumpul ketua partai cawe2 tolak mk 6 tuduh presiden naik gaji,in,13,RicKY_KCh,netral,netral
2024-04-22 07:26:31,284,orang ndeso so lihat bansos gelontor jelang milu sdh kroso mesti ono opo2ne masak hakim gak kroso sih ati iku ng ndi to kim kim,in,9,MHasan_abdillah,netral,netral
2024-04-23 04:43:27,19,potential sleeper project tge soon selamat siang tunggu bansos kita saling bantu dapat bansos banyak,in,16,sempakelon,netral,netral
2024-04-15 17:42:00,149,kalo genius tuh bikin rakyat mandiri sendiri bukan ngarepin bansos mulu goblooook,in,10,Cokrays,positif,positif
2024-04-17 16:05:38,26,arab hya milik minyak rakyat sejahtera indonesia punya sgalanya minyak emas perak timah nikel batubara tapi rakyat tetap miskin hya harap jadi pngemis bansos reformasi rakyat miskin betul era diterusksn 1,in,17,H4T14K4LN4L42,positif,positif
2024-04-16 00:34:15,4,dapet bansos aja neng,in,0,syaZul352038,netral,netral
2024-04-21 01:54:17,27,1 mk adil hasil contoh kalau proses bansos masif sebab menang mk ubah hasil putus menang jadi kalah kalah jadi menang jimly,in,15,dancersejati07,netral,netral
2024-04-23 05:55:39,298,prabowo juga sangkal dia menang bansos ilegal airlangga zulhas teriak2 bansos beri pak jokowi pak jokowi curi apbn 497 triliun menang prabowo gibran,in,185,MichelAdam7__,positif,positif
2024-04-20 11:00:04,4,trus knp anggar bansos malah dinaikin bongpret,in,0,mickolv_idas,positif,positif
2024-04-16 14:48:02,0,bagaimana cerita,in,0,suhendi1592,positif,positif
2024-04-22 07:29:18,31,bansos bukan langgar cawapres samsul bukam nepotisme ketua kpu asusila bukan pelanggaranitu hobi anyinggggggg,in,6,KangDickyAjah,netral,netral
2024-04-18 01:58:00,45,sama dana bansos beras sekarang gak ngalir ke masyarakat gede apalagi korupsi timah suami mbak dewi pantes opung luhut tunjuk ngurus gile cing 1 6 t loh luar biasa,in,14,Penyair_Berdiri,positif,positif
